Row Type,Action,Campaign status,Campaign ID,Campaign,Campaign type,Networks,Budget,Delivery method,Budget type,Bid strategy type,Bid strategy,Campaign start date,Campaign end date,Language,Location,Exclusion,Devices,Label,Target CPA,Target ROAS,Display URL option,Website description,Target Impression Share,Max CPC Bid Limit for Target IS,Location Goal for Target IS,Tracking template,Final URL suffix,Custom parameter,Inventory type,Campaign subtype,Video ad formats,EU political ads
Campaign,Add,Paused,,Search | FLEET Produkte | FR,Search,Google search,0.17,Standard,Daily,Maximize clicks,,,,fr; en,France,,,,,,,,,,,,,,,,,No
Campaign,Add,Paused,,Search | FLEET Produkte | ES,Search,Google search,0.17,Standard,Daily,Maximize clicks,,,,es; en,Spain,,,,,,,,,,,,,,,,,No
Campaign,Add,Paused,,Search | FLEET Produkte | PL,Search,Google search,0.16,Standard,Daily,Maximize clicks,,,,pl; en,Poland,,,,,,,,,,,,,,,,,No
Campaign,Add,Paused,,Search | FLEET Produkte | IT,Search,Google search,0.16,Standard,Daily,Maximize clicks,,,,it; en,Italy,,,,,,,,,,,,,,,,,No
